NOMBRE_COMPANIA|COMISION_COMPANIA|IDENTIFICACION_EMPLEADO|TELEFONO_EMPLEADO|NOMBRE_EMPLEADO|NUMERO_CUENTA|NUMERO_TARJETA|OPERADOR_TARJETA|VENCIMIENTO_TARJETA|SALDO_CUENTA|MONEDA|COTIZACION_USD
Prime Dynamics|7.43|862-27-1565|431-368-2536x7348|Jenna Jones|e9b96f7d-b776-4905-ada4-3ce00c902cf0|38121844066308|UnionPay|04/26|41688.1|Real|0.19
GlobalCorp|4.56|806-08-6815|(566)047-9901x02983|Scott Cook|4bccde8f-6b65-4b55-8c87-8fa3f3506ba7|4731429332007441|Discover|05/29|38627.57|Euro|1.1
EcoSolutions|17.29|021-49-7648|+1-202-086-5150x783|James Reynolds|e1ee3e7e-062f-4929-93eb-ef3f0c3d2088|38231881838657|American Express|04/27|82137.2|Yen|0.007
EcoSolutions|5.1|237-95-9788|5419921707|Jeffrey Thompson|a8affa4d-c572-4e8f-80cf-4e1ff77a9694|3526349890030950|American Express|02/27|71501.92|Libra|1.3
NextGen Ventures|14.55|466-93-4623|855-217-8112x256|David Bell|9eb0e463-62b4-4747-aafd-c0e27a226c39|378081619671179|Visa|02/26|18171.15|Real|0.19
TechNova|0.68|392-95-3025|(805)644-2197x85938|Meagan Boyle|b84cf56e-28b9-4106-a668-98a33f329ef6|4862880348346|Discover|05/25|62928.29|Euro|1.1
BluePeak Systems|1.46|526-47-4662|(203)943-7400x6680|Megan Richardson|8d241618-5db5-4986-8d62-487b9dcd085e|4685921530667|American Express|04/27|60625.79|Yen|0.007
BluePeak Systems|11.14|338-25-8260|001-399-907-3342x273|Zachary Foster|8336ccb0-058f-44ec-88c0-998f56fc30ad|6011294409347617|Mastercard|11/27|20396.68|Dolar Canadiense|0.75
BluePeak Systems|11.69|092-86-7501|(399)015-7344x101|Lindsey Savage|8ffe4bf9-4acf-4ae0-a137-ec6ba3161047|30378687220875|UnionPay|07/25|98775.66|Libra|1.3
NextGen Ventures|9.37|881-53-5245|001-219-957-9376x0244|Sarah Graham|640c722f-3c19-4638-9cbb-be0335b1f896|3571747857914369|Mastercard|11/28|69869.18|Dolar|1
GlobalCorp|4.27|361-57-2372|001-751-493-9284x12089|Megan Kemp|1511a335-f04f-482c-a478-90c6d5c81005|38420654600036|Mastercard|06/28|87708.68|Libra|1.3
Skyline Ltd|17.17|789-84-1501|6793140279|Albert Clements|64688da8-500d-4c6d-a444-aaac97b3f3ae|30233380077520|Discover|07/25|1624.3|Yen|0.007
BluePeak Systems|12.31|064-85-9766|0364074182|Neil Fuller|d3fe3d50-96b1-489d-9b89-126cb14b0934|4899388483225111|Visa|04/27|11307.32|Euro|1.1
GlobalCorp|1.46|425-55-8332|821-561-2068x094|Nicole Davila|5d713aba-551e-41f0-9889-b70f67bf6495|340000351144703|Visa|10/25|74305.2|Real|0.19
Visionary Labs|14.73|434-30-4340|991-281-5545x016|Willie Cox|af766dfc-24c9-4d4c-8f35-1a998c242148|503875331657|American Express|06/29|31768.1|Libra|1.3
Apex Solutions|6.5|678-10-2651|(938)148-6053|Justin Mccarty|b9c80e26-08c7-47c2-a4ee-4a789cc5e330|213173595599067|Mastercard|10/25|38838.78|Dolar Canadiense|0.75
GlobalCorp|9.12|324-50-6917|(325)668-4331x632|George Farrell|8334e41e-8e66-4b8b-a26a-2d25cb73b556|6011198905225765|American Express|10/27|98470.69|Euro|1.1
Visionary Labs|14.88|308-99-4738|627-272-6855x10255|Barbara Lowery|83676d35-11d0-4eb1-99c8-60a619929bee|341789307713137|Discover|08/26|3289.73|Pesos Argentinos|0.0028
Apex Solutions|10.13|664-77-3243|(504)405-9052x616|Stephanie Thomas|a8591015-6cb1-4638-b9b8-a4bca5f7bb7f|38850501770386|Discover|05/25|22285.47|Yen|0.007
GlobalCorp|11.36|691-14-6206|627-994-9608|Daniel Martin|7ad709d4-c484-4a39-a551-19f81d00fac2|4273080877647598|Visa|07/29|59416.0|Pesos Argentinos|0.0028
EcoSolutions|4.4|669-82-1629|001-290-777-4630x05673|Allison Burton|b9886aac-485f-4eda-bf23-e601875aa7cf|4324882691462|American Express|09/26|34280.34|Yen|0.007
Prime Dynamics|11.48|065-79-6056|(268)714-6556x5640|Jimmy Lewis|0f546317-3e9b-40e8-88c5-0bc2e3f8250d|346639636510347|Discover|07/25|43931.25|Libra|1.3
NextGen Ventures|2.78|220-39-1403|239.654.2387|Carlos Davidson|d751e4fc-4170-4960-a5a8-2b7c09d48c9d|5147438825422566|Mastercard|05/27|24662.0|Pesos Argentinos|0.0028
Skyline Ltd|9.54|359-58-7894|(297)346-6705x75057|Mark Leach|e1490221-b847-4386-a02e-715398519cc8|2704496571576805|UnionPay|04/28|26779.15|Euro|1.1
NextGen Ventures|18.34|555-45-0107|(097)896-3048x839|Claudia Wilson|5c441c1d-c680-4aac-aa73-408073d8d9ec|6011804550728900|American Express|05/28|43746.93|Dolar Canadiense|0.75
GlobalCorp|8.98|257-62-4463|+1-834-233-7334x539|Brittany Kramer|eddea456-5438-4209-850d-bc5c90eb0aa0|4993627491147|Mastercard|10/26|90256.42|Euro|1.1
Skyline Ltd|17.73|030-07-5723|744-764-3858|Ashley Sims|5c68aee0-cdf8-42dd-94f9-27b535c131d9|6518297996854828|American Express|01/26|94260.58|Dolar|1
GlobalCorp|17.67|830-10-2513|403-856-8518|Molly Johnson|09b4e533-8f05-44aa-b2ca-8c5b6541059d|4066988311566|Mastercard|06/29|70308.35|Yen|0.007
NextGen Ventures|15.64|314-84-3513|729.948.8751x0557|Donald Brown|44bcd031-3a7c-48d8-b395-ae7dba11f274|30274822913823|Visa|10/28|73967.83|Pesos Argentinos|0.0028
Visionary Labs|9.87|039-16-8472|(565)316-7998x199|Julie Torres|9c7a45bd-df6b-4e90-893a-bb73a2fecb19|371841950924256|UnionPay|12/28|10289.6|Libra|1.3
GlobalCorp|19.09|230-49-5534|+1-805-597-3769x9566|Christopher Williams|f65e0e04-c458-49a1-b593-8a60101264b6|4702128311633|Discover|05/29|88417.94|Dolar|1
GlobalCorp|17.27|022-21-6190|(165)837-0113|Ashley Hoffman|bbee2653-e1d8-4694-a006-cc2ec81388b1|3591024798244991|UnionPay|10/26|15932.84|Euro|1.1
Prime Dynamics|15.43|330-36-2143|001-725-332-9676x0929|Diane Carson|ddfe6970-9c33-47f1-a35d-562a0ecbda1c|6011234130976672|Discover|08/26|64420.67|Dolar Canadiense|0.75
GreenWave Inc.|10.79|281-89-1226|001-576-590-0199x773|Jo Smith|b5222f76-ac64-46e6-866f-27ac8e457aa9|4358406533354|American Express|01/25|1337.01|Pesos Argentinos|0.0028
Prime Dynamics|13.6|640-92-1726|1359186432|Jimmy Liu|a70fb843-e4aa-469a-9124-7f10b38d42c8|3588215921464325|UnionPay|10/25|62287.45|Dolar Canadiense|0.75
BluePeak Systems|4.17|703-32-3451|401-287-4211x3983|Jesse Crawford|9cf8fa25-eadf-4539-85b1-a240252b0822|3515682069929260|UnionPay|01/28|66604.66|Real|0.19
EcoSolutions|18.37|737-68-8922|353.970.6970|Christina Larsen|7f33d12d-94f5-4db4-9781-7337b8bcc8c6|587189649821|UnionPay|10/26|38652.1|Libra|1.3
Skyline Ltd|2.38|681-03-7790|374-944-0954|Alexis Johnson|0565cac8-200d-4a52-95b6-c1cc350519cd|30021044111391|UnionPay|03/25|40468.94|Real|0.19
GlobalCorp|18.9|806-81-5127|997-089-7649x03555|Connor Brown|a9da36ab-74e3-46f0-ae83-db1f06fe6b16|579834290648|Discover|01/27|74844.43|Libra|1.3
Skyline Ltd|15.5|020-06-2913|001-792-395-4681x8734|Ryan Ray|072bd656-85a6-4bfd-bd35-d0b06374f3d9|3534584467116325|Visa|09/26|1452.19|Dolar|1
BluePeak Systems|7.32|281-48-8589|796.387.5139x749|Sandra Johnson|9c6b8604-c4dd-44c1-8020-94d0aa82f696|2248658117477045|Visa|07/29|53515.29|Dolar Canadiense|0.75
GlobalCorp|17.61|672-71-7752|(972)830-7933x930|James Church|2c73bee0-dd89-4c39-b084-4cb0521c7fb9|349672623057714|Mastercard|09/27|22424.43|Yen|0.007
Skyline Ltd|3.65|266-77-2129|001-403-844-3171x8752|Brian Harris|0b2b5d40-b782-414d-97fd-a078a575fa1f|345534380644643|American Express|08/25|35903.46|Yen|0.007
TechNova|8.58|642-08-0007|001-238-082-9942|John Johnson|b34c6d46-f309-4842-ba68-4cfa5a3bff88|4948351332248743|Discover|09/28|65552.99|Pesos Argentinos|0.0028
Apex Solutions|2.85|303-25-5623|277.283.6643|Eric Gregory|c9ab12e5-1baa-4e1a-89fd-bb790be054bb|3567639049807906|American Express|05/28|7234.72|Dolar|1
GreenWave Inc.|10.96|637-77-2854|0942104504|Ashley Russell|8f41ba59-e300-44b5-a6e4-7315b808d478|343297657829147|UnionPay|09/28|35954.25|Pesos Argentinos|0.0028
Prime Dynamics|19.72|635-15-2238|838-569-5157x0122|Destiny Martinez|e7200060-6f8c-4c33-b105-a019da9f7d06|4558339083878|Visa|01/28|84887.17|Dolar|1
NextGen Ventures|12.41|179-51-7681|378.643.1876x9451|Chris Davenport|b9aa9fb0-f4bd-4469-9cfe-12d9713675db|30207287203231|Mastercard|03/25|8582.02|Pesos Argentinos|0.0028
GreenWave Inc.|4.62|349-45-7883|595-514-6179x5956|Paul Parks|11a08e7b-eb6a-4f05-a476-7bd6451aacac|4301814664570340|UnionPay|09/27|95174.34|Yen|0.007
Visionary Labs|12.61|424-42-0921|105-920-4949|Monica Walker|36c61676-c232-4f18-aafe-6e35d64d500d|180083329762148|Mastercard|02/28|92471.86|Dolar|1
Apex Solutions|14.4|865-42-5395|653-062-5123x8274|Jill Baldwin|0d04b6bb-cae4-4073-8254-d26611dd763c|213186199376856|UnionPay|08/29|82581.99|Dolar|1
GlobalCorp|10.57|230-06-0344|962-339-6982x203|Terri Irwin|9ccc6599-88f4-4cab-8054-7b9a71337cd1|569110332354|UnionPay|05/28|55208.63|Real|0.19
Prime Dynamics|15.78|541-53-1344|(915)618-5010x440|Carolyn Brooks|cc6028d8-da6c-4bc6-98d6-06dca4700583|372763311627981|Discover|10/28|86931.82|Libra|1.3
TechNova|19.01|553-89-8601|(010)723-5901|Dawn Anderson|05cca4ba-f9e9-47e6-990c-962fe73c61b9|371604846957405|Discover|01/25|60559.74|Euro|1.1
BluePeak Systems|18.83|506-93-2093|034-318-3384|Robert Ford|28911ae3-f4e9-4d77-bc15-c16c482fbc78|3599633035243087|UnionPay|08/28|44155.62|Real|0.19
GlobalCorp|7.59|419-70-5559|241.205.0218|Nathaniel Wilson|7aac8beb-f51e-401f-ae02-c44e56c0fac2|6507139988032091|UnionPay|08/28|41992.4|Pesos Argentinos|0.0028
BluePeak Systems|11.18|271-38-9755|+1-289-651-2182x720|Elizabeth Wilson|1329e3c3-d321-49d5-9e48-d7a6ca00e27e|4734986747398616635|American Express|12/25|44947.34|Real|0.19
NextGen Ventures|4.73|760-47-9221|081.065.3356|Sean Lester|a85f62a2-ee88-4658-99cb-d242f5930832|6546946922012051|Mastercard|12/27|35031.99|Real|0.19
Prime Dynamics|15.62|543-60-7144|605.867.9969|Tony Chapman|e5695a7e-f029-44d4-a00c-d8b66eeff1a7|4428986429146463|American Express|12/24|47068.17|Real|0.19
BluePeak Systems|10.15|510-27-8577|309-841-6565x9635|Aimee Garcia|ef7b7592-ed0e-49ee-a722-248256243da3|180016535555252|American Express|10/27|83854.49|Libra|1.3
BluePeak Systems|14.66|087-33-5613|001-442-696-3913x4724|Theresa Williams|a23a4dc5-7d1e-4aeb-80e7-17137df2e9a8|4517042733518|Visa|10/25|78334.8|Yen|0.007
Visionary Labs|15.62|269-63-7672|659-821-1264x1894|Wendy Barajas|b6078fd4-7035-4a37-8475-02a141574059|3563544524314663|American Express|10/27|72349.74|Libra|1.3
BluePeak Systems|3.5|477-94-1562|+1-183-273-9540x20574|Krystal Miles|3d51cba0-0c5b-432a-94c5-e23f4ce3b5d1|340942077167106|American Express|11/28|17058.1|Pesos Argentinos|0.0028
Skyline Ltd|4.81|689-92-7158|429.771.5684|Jerry Bradley MD|f2ed61b3-2b25-4bc8-96fc-0a82625903e0|5413671970822688|UnionPay|09/27|11537.21|Dolar Canadiense|0.75
Visionary Labs|9.26|171-89-5498|(376)215-2712|Andrew Vazquez|dd4182fa-a4ae-483b-bd83-7f9a294f5fa6|4429367804691458862|UnionPay|05/27|90331.3|Pesos Argentinos|0.0028
TechNova|11.63|303-11-7357|001-347-030-1056x240|Ricky Horn|e00e7f48-e7af-4eb4-9111-2304fd4273ac|30426454669848|Visa|10/29|56211.98|Euro|1.1
Visionary Labs|17.53|824-62-7159|274.219.2244|Evan Smith|a56b2126-69d8-4186-adf0-b5c2cefbd2ec|2715804976124336|Mastercard|07/27|48197.29|Libra|1.3
Skyline Ltd|2.86|185-05-0859|3107143856|Raymond Nolan|4d0a267b-f0c3-4d63-988e-347d896ec534|213176308996975|Discover|03/26|70669.96|Libra|1.3
EcoSolutions|0.83|417-79-8442|129.259.2965x96643|Kevin Mason|c9ef26c9-ad7d-49a5-adc2-010418cd4f57|4109780555798|Mastercard|04/27|81259.97|Euro|1.1
Apex Solutions|10.26|781-74-8687|014-243-1193|Jeffrey Miller|20c3cbdf-ad28-495a-b83c-b7f37b885406|3502316299513371|Discover|09/29|67088.88|Dolar Canadiense|0.75
TechNova|11.33|094-67-3655|727.953.2147x80636|Jody Martinez|dfb241dd-c8a5-4a21-8e68-11cf1bb8f323|6011808389502188|Discover|10/25|67671.56|Real|0.19
EcoSolutions|11.81|226-90-2697|(531)632-3796x4524|Spencer Brooks|081a53bf-d3d6-402a-a7be-019f06a090ce|4626432055901|Visa|05/27|61065.99|Dolar|1
TechNova|15.87|193-63-2211|+1-028-357-6382x2789|Briana Smith MD|437d5689-38c5-4e2d-be63-6e2c2e75702f|4396370688147058|Mastercard|01/29|80473.29|Real|0.19
Apex Solutions|13.76|875-07-7945|(295)750-1390|Jason Nelson|0ca46522-2c60-4dd0-ac93-f0660e99b743|2273578683361779|American Express|01/25|73101.78|Real|0.19
Skyline Ltd|8.51|449-26-0029|349.821.7966|Thomas Miller|5369bfe0-23a6-4943-8fa0-531fbbf23260|2591136540989780|American Express|07/29|19850.48|Dolar|1
Apex Solutions|18.3|761-87-5348|+1-154-040-0650x7952|Oscar Lopez|e353fde6-f004-4660-91c5-da216e7b644e|3547723421321473|UnionPay|11/28|83656.52|Euro|1.1
NextGen Ventures|6.77|354-84-0146|(353)004-2907|Ian Carpenter|c413b010-8916-46e8-9d2e-d954d59f98ce|4456565538473003|American Express|04/27|96569.44|Real|0.19
Prime Dynamics|8.22|887-46-2563|+1-974-630-2842x649|Alicia Howe|932885c9-3d81-4e56-ad16-0bd790557c7a|349558593834085|UnionPay|04/26|2625.57|Libra|1.3
EcoSolutions|3.58|323-91-8534|001-394-536-5865x5664|Maria Graves|a0aa168a-d220-496a-af85-d52daa67a58c|4572878143214580582|American Express|11/24|56609.51|Real|0.19
EcoSolutions|1.01|158-47-7881|936-340-0958|Melanie Camacho|19af2956-a2e4-4c41-98af-c23890852907|676190963774|Visa|05/27|14425.57|Real|0.19
Visionary Labs|3.6|898-17-6320|3361141526|Daniel Thompson|bafa8c93-50c2-4302-be35-99be67134c98|4851834383418|American Express|09/26|53065.2|Real|0.19
Skyline Ltd|16.1|835-79-7858|195.094.2308|Rachel Mcdonald|230c8273-319d-4e4a-a670-e39ba7baae25|3593629588271372|UnionPay|12/27|86638.97|Yen|0.007
GlobalCorp|17.83|484-96-9758|(420)740-1905x87697|Christina Stanley|e6620e3c-75ab-46e6-bbf3-6587087702c7|374589525215141|Visa|11/27|74691.21|Dolar Canadiense|0.75
Skyline Ltd|10.45|409-14-5140|001-268-445-2901|Brandon Shields|271a9260-697c-46d0-8509-fdfa1cce1a8f|4263888727277859802|UnionPay|09/26|30368.99|Dolar|1
GreenWave Inc.|2.29|169-09-5151|(769)860-9522x4292|Julia Ochoa|36ab58a6-b031-4591-8676-8f95d604c481|3599389652989789|Visa|10/25|80600.9|Euro|1.1
GlobalCorp|14.9|408-49-4792|795-671-2777x23215|Ronald Black|8166dca9-205b-4683-b70c-825cf6f8dad0|3533867209844812|Visa|01/25|23830.9|Yen|0.007
GlobalCorp|13.99|504-36-6991|4708779857|Joshua Howell|635b5628-f10b-450c-8add-6f0b346da6c2|5333345828633814|Visa|02/25|93501.66|Libra|1.3
TechNova|15.85|784-47-0216|(467)025-9142|Michael Fisher|8089d1ba-53cd-4084-b022-03523b56512a|38592355929664|Discover|09/27|35227.98|Dolar Canadiense|0.75
TechNova|9.8|813-42-8894|(271)463-0873x40049|Sarah Archer|719c5241-6bac-4fd0-a1e3-e194171f52eb|4551894020187|American Express|09/27|54799.59|Dolar|1
Apex Solutions|15.22|898-10-9669|001-425-939-0685x6667|Kelsey Ramos|050c90be-1bb9-4b52-9927-01080f104c59|4517586618902668|UnionPay|10/27|91294.65|Yen|0.007
Visionary Labs|9.23|035-08-9988|(527)497-5415|Kathleen Miles|df4ef739-c11f-494b-9c32-e69998585af9|6553053981364208|Mastercard|06/28|36540.16|Euro|1.1
BluePeak Systems|19.05|807-79-6108|+1-729-643-8459x569|Rachel Robbins|284e08e5-013f-4d89-aa65-a87d669ff388|3516303758383771|American Express|01/27|3631.27|Pesos Argentinos|0.0028
GlobalCorp|8.56|781-15-2190|(452)099-8626|Ryan Scott|6abf0aab-57ce-4241-9b5b-c395774b259e|376968167430648|Visa|09/28|2782.99|Pesos Argentinos|0.0028
